"","status","age_min","age_max","admin2guid","vaccine_type","activity_parent_code","date"
"1","Done",0,60,461,"bOPV",101,"2019-07-29"
"2","Done",0,60,414,"bOPV",59,"2021-12-08"
"3","Done",0,60,631,"nOPV2",1,"2017-10-13"
"4","Done",0,60,61,"nOPV2",68,"2018-11-03"
"5","Done",0,60,420,"nOPV2",26,"2022-01-22"
"6","Done",0,60,272,"nOPV2",107,"2016-10-14"
"7","Done",0,60,236,"nOPV2",109,"2019-04-12"
"8","Done",0,60,175,"bOPV",112,"2017-02-25"
"9","Done",0,60,519,"bOPV",93,"2018-01-20"
"10","Done",0,60,402,"mOPV2",93,"2023-11-04"
"11","Done",0,60,34,"bOPV",19,"2017-01-28"
"12","Done",0,60,276,"nOPV2",14,"2016-12-03"
"13","Done",0,60,30,"bOPV",87,"2019-07-12"
"14","Done",0,60,452,"bOPV",48,"2017-03-25"
"15","Done",0,60,331,"nOPV2",65,"2018-12-08"
"16","Done",0,60,753,"bOPV",109,"2018-06-07"
"17","Done",0,60,553,"nOPV2",64,"2018-06-26"
"18","Done",0,60,622,"bOPV",100,"2017-04-21"
"19","Done",0,60,1,"bOPV",38,"2021-04-23"
"20","Done",0,60,301,"nOPV2",26,"2022-05-13"
"21","Done",0,59,69,"bOPV",48,"2018-04-06"
"22","Done",0,60,494,"bOPV",102,"2019-07-12"
"23","Done",0,60,647,"bOPV",103,"2021-12-08"
"24","Done",0,60,81,"bOPV",23,"2020-02-01"
"25","Done",0,60,639,"f-IPV",94,"2017-03-25"
"26","Done",0,59,212,"bOPV",101,"2023-11-04"
"27","Done",0,60,214,"nOPV2",110,"2022-07-29"
"28","Done",0,59,239,"nOPV2",47,"2018-11-03"
"29","Done",0,60,368,"bOPV",48,"2019-04-26"
"30","Done",0,60,94,"nOPV2",14,"2023-11-04"
"31","Done",0,60,278,"bOPV",91,"2023-05-12"
"32","Done",0,60,568,"nOPV2",91,"2019-07-29"
"33","Done",0,60,223,"nOPV2",11,"2021-03-13"
"34","Done",0,60,439,"bOPV",91,"2018-03-02"
"35","Done",0,60,157,"bOPV",18,"2022-01-22"
"36","Done",0,60,674,"mOPV2",88,"2022-05-13"
"37","Done",0,60,61,"f-IPV",88,"2023-07-16"
"38","Done",0,60,87,"mOPV2",64,"2021-03-13"
"39","Done",0,60,2,"nOPV2",45,"2019-04-12"
"40","Done",0,60,625,"mOPV2",46,"2021-07-30"
"41","Done",0,60,169,"mOPV2",109,"2021-09-03"
"42","Done",0,60,19,"mOPV2",94,"2016-11-12"
"43","Done",0,60,714,"bOPV",47,"2019-07-29"
"44","Done",0,60,696,"bOPV",95,"2021-07-30"
"45","Done",0,60,583,"nOPV2",47,"2019-04-26"
"46","Done",0,35,364,"bOPV",12,"2018-11-03"
"47","Done",0,60,178,"bOPV",65,"2018-04-06"
"48","Done",0,60,145,"nOPV2",111,"2019-05-24"
"49","Done",0,60,588,"nOPV2",110,"2019-07-29"
"50","Done",0,60,464,"bOPV",27,"2023-02-18"
"51","Done",0,60,212,"nOPV2",107,"2019-12-01"
"52","Done",0,60,559,"bOPV",111,"2023-09-29"
"53","Done",0,60,267,"bOPV",68,"2023-12-14"
"54","Done",0,60,192,"mOPV2",45,"2017-03-25"
"55","Done",0,60,718,"nOPV2",54,"2016-11-12"
"56","Done",0,60,676,"bOPV",77,"2019-04-12"
"57","Done",0,60,610,"nOPV2",2,"2023-11-04"
"58","Done",0,60,196,"f-IPV",95,"2022-01-22"
"59","Done",0,60,538,"nOPV2",89,"2021-07-30"
"60","Done",0,60,109,"f-IPV",98,"2023-12-14"
"61","Done",0,60,213,"IPV",93,"2023-12-14"
"62","Done",0,60,67,"mOPV2",19,"2021-05-07"
"63","Done",0,60,596,"nOPV2",18,"2023-10-13"
"64","Done",0,59,59,"bOPV",13,"2019-07-12"
"65","Done",0,60,469,"f-IPV",93,"2017-03-25"
"66","Done",0,60,183,"nOPV2",103,"2016-05-08"
"67","Done",0,60,550,"f-IPV",38,"2019-11-30"
"68","Done",0,60,612,"bOPV",44,"2019-01-26"
"69","Done",0,60,252,"nOPV2",44,"2018-03-02"
"70","Done",0,60,540,"bOPV",112,"2023-09-29"
"71","Done",0,59,615,"nOPV2",77,"2021-05-07"
"72","Done",0,60,303,"bOPV",95,"2019-07-29"
"73","Done",0,60,24,"bOPV",44,"2020-02-01"
"74","Done",0,60,37,"bOPV",4,"2018-05-09"
"75","Done",0,60,620,"f-IPV",100,"2022-09-30"
"76","Done",0,60,464,"nOPV2",106,"2022-01-22"
"77","Done",0,60,1,"f-IPV",68,"2023-10-13"
"78","Done",0,60,274,"nOPV2",110,"2019-07-12"
"79","Done",0,60,622,"nOPV2",14,"2019-04-12"
"80","Done",0,60,437,"nOPV2",68,"2022-07-01"
"81","Done",0,60,116,"bOPV",17,"2023-09-29"
"82","Done",0,60,65,"nOPV2",111,"2022-02-19"
"83","Done",0,60,564,"nOPV2",44,"2021-05-07"
"84","Done",0,60,155,"nOPV2",77,"2023-10-13"
"85","Done",0,60,288,"bOPV",86,"2019-07-12"
"86","Done",0,60,202,"bOPV",68,"2021-12-08"
"87","Done",0,60,629,"mOPV2",13,"2023-10-13"
"88","Done",0,60,203,"nOPV2",68,"2019-12-01"
"89","Done",0,60,160,"mOPV2",93,"2017-06-30"
"90","Done",0,60,614,"bOPV",107,"2018-06-26"
"91","Done",0,60,581,"nOPV2",68,"2016-12-03"
"92","Done",0,60,181,"nOPV2",51,"2023-12-14"
"93","Done",0,60,549,"nOPV2",82,"2021-05-07"
"94","Done",2,60,162,"nOPV2",26,"2020-10-16"
"95","Done",0,60,339,"nOPV2",13,"2018-08-31"
"96","Done",0,60,409,"bOPV",81,"2021-05-07"
"97","Done",0,60,34,"nOPV2",110,"2023-09-29"
"98","Done",0,60,21,"nOPV2",77,"2022-01-22"
"99","Done",0,60,543,"nOPV2",48,"2022-10-07"
"100","Done",0,60,771,"bOPV",110,"2019-07-12"
"101","Done",0,35,596,"nOPV2",2,"2019-07-29"
"102","Done",0,60,111,"nOPV2",38,"2021-10-08"
"103","Done",0,60,148,"bOPV",22,"2017-03-25"
"104","Done",0,60,689,"bOPV",25,"2023-07-16"
"105","Done",0,60,233,"nOPV2",52,"2023-09-29"
"106","Done",0,59,107,"bOPV",107,"2022-02-19"
"107","Done",0,60,680,"nOPV2",55,"2018-12-08"
"108","Done",0,60,406,"mOPV2",16,"2020-10-16"
"109","Done",0,60,481,"nOPV2",16,"2020-10-16"
"110","Done",0,60,760,"nOPV2",55,"2016-12-03"
"111","Done",0,60,140,"bOPV",18,"2016-05-13"
"112","Done",0,60,502,"bOPV",26,"2022-01-22"
"113","Done",0,60,630,"IPV + bOPV",47,"2016-05-13"
"114","Done",0,60,203,"mOPV2",64,"2023-10-13"
"115","Done",0,60,80,"mOPV2",23,"2018-04-06"
"116","Done",2,60,332,"nOPV2",44,"2019-07-29"
"117","Done",0,60,527,"nOPV2",78,"2017-06-30"
"118","Done",0,60,328,"mOPV2",107,"2016-12-03"
"119","Done",0,60,76,"bOPV",16,"2017-04-21"
"120","Done",0,60,294,"bOPV",91,"2017-03-25"
"121","Done",0,60,65,"bOPV",11,"2021-05-07"
"122","Done",0,60,587,"bOPV",85,"2022-05-13"
"123","Done",0,60,155,"bOPV",111,"2018-06-26"
"124","Done",0,60,516,"nOPV2",18,"2016-05-13"
"125","Done",0,60,364,"nOPV2",68,"2021-05-07"
"126","Done",0,60,67,"bOPV",65,"2018-07-27"
"127","Done",0,60,49,"bOPV",77,"2023-01-20"
"128","Done",0,60,619,"bOPV",47,"2019-07-29"
"129","Done",0,60,213,"bOPV",37,"2019-06-14"
"130","Done",0,60,436,"bOPV",54,"2021-05-07"
"131","Done",0,60,521,"bOPV",38,"2023-09-29"
"132","Done",0,59,509,"nOPV2",94,"2022-01-22"
"133","Done",0,60,198,"nOPV2",52,"2022-07-29"
"134","Done",0,60,286,"nOPV2",106,"2020-02-01"
"135","Done",0,60,293,"nOPV2",18,"2023-09-29"
"136","Done",0,60,348,"nOPV2",46,"2017-01-28"
"137","Done",0,60,744,"bOPV",95,"2019-07-12"
